NPSN,Nama Sekolah,Bentuk Pendidikan,Status,Alamat,Kabupaten/Kota,Kecamatan,Desa/Kelurahan,URL,Kecamatan Detail,Kabupaten Detail,Provinsi,Jenjang
60725022,MAS PKU,MA,SWASTA,Jl. Pantai Selatan,Kab. Adm. Kep. Seribu,Kepulauan Seribu Selatan,PULAU TIDUNG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60725022,KEPULAUAN SERIBU SELATAN,KAB. ADM. KEP. SERIBU,PROV. D.K.I. JAKARTA,DIKMEN
20109165,SMKN 61 JAKARTA,SMK,NEGERI,JALAN PANTAI SELATAN NO. 1 PULAU TIDUNG.,Kab. Adm. Kep. Seribu,Kepulauan Seribu Selatan,PULAU TIDUNG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20109165,KEPULAUAN SERIBU SELATAN,KAB. ADM. KEP. SERIBU,PROV. D.K.I. JAKARTA,DIKMEN
20107185,SMAN 69 JAKARTA,SMA,NEGERI,PULAU PRAMUKA RT 003/05,Kab. Adm. Kep. Seribu,Kepulauan Seribu Utara,PULAU PANGGANG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20107185,KEPULAUAN SERIBU UTARA,KAB. ADM. KEP. SERIBU,PROV. D.K.I. JAKARTA,DIKMEN
60725008,MAS JAMIAT KHEIR,MA,SWASTA,Jl. KH. Mas Mansyur No.47,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON MELATI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60725008,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20109970,SLBN 3 JAKARTA,SLB,NEGERI,Jl. Karet Pasar Baru Barat 7,Kota Adm. Jakarta Pusat,Tanah Abang,KARET TENGSIN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20109970,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKDAS
20100188,SMA KRISTEN BETHEL,SMA,SWASTA,JL. PETAMBURAN IV NO.4,Kota Adm. Jakarta Pusat,Tanah Abang,PETAMBURAN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100188,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100219,SMAN 24 JAKARTA,SMA,NEGERI,JL. LAPANGAN TEMBAK NO. 1 GELORA,Kota Adm. Jakarta Pusat,Tanah Abang,GELORA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100219,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100212,SMAN 35 JAKARTA,SMA,NEGERI,JL. MUTIARA,Kota Adm. Jakarta Pusat,Tanah Abang,KARET TENGSIN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100212,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100200,SMAN 7 JAKARTA,SMA,NEGERI,JL. KARET PS. BARU BARAT V,Kota Adm. Jakarta Pusat,Tanah Abang,KARET TENGSIN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100200,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20108501,SMAS HATI SUCI,SMA,SWASTA,JL. HATI SUCI NO. 2,Kota Adm. Jakarta Pusat,Tanah Abang,KAMPUNG BALI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20108501,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20108502,SMAS ISLAM SAID NA UM JAKARTA,SMA,SWASTA,JL. K.H. MAS MANSYUR NO. 25,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON KACANG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20108502,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100184,SMAS MUHAMMADIYAH 14 JAKARTA,SMA,SWASTA,JL. DANAU LIMBOTO NO. 2,Kota Adm. Jakarta Pusat,Tanah Abang,BENDUNGAN HILIR,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100184,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100140,SMK AL-IHSAN,SMK,SWASTA,JL. KEBON KACANG IX/57,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON KACANG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100140,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20109319,SMK DENTAL ASISTEN SEKESAL JAKARTA,SMK,SWASTA,JL.BENDUNGAN JATILUHUR NO.130,Kota Adm. Jakarta Pusat,Tanah Abang,BENDUNGAN HILIR,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20109319,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100132,SMK KRISTEN BETHEL,SMK,SWASTA,JL. KS TUBUN N0. 253 TANAH ABANG,Kota Adm. Jakarta Pusat,Tanah Abang,PETAMBURAN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100132,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20108509,SMK MUHAMMADIYAH 5,SMK,SWASTA,JL. TAMAN BENDUNGAN JATILUHUR 18,Kota Adm. Jakarta Pusat,Tanah Abang,BENDUNGAN HILIR,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20108509,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100151,SMK PGRI 31 JAKARTA,SMK,SWASTA,Jl.Sabeni No 12,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON MELATI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100151,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100160,SMKN 19 JAKARTA,SMK,NEGERI,JL. DANAU LIMBOTO NO. 11,Kota Adm. Jakarta Pusat,Tanah Abang,BENDUNGAN HILIR,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100160,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100167,SMKN 38 JAKARTA,SMK,NEGERI,JL. KARET PASAR BARU TIMUR II,Kota Adm. Jakarta Pusat,Tanah Abang,KARET TENGSIN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100167,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100142,SMKS MUHAMMADIYAH 2 JAKARTA,SMK,SWASTA,JL. KH. MAS MANSYUR NO. 65,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON MELATI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100142,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
20100118,SMKS SAID NAUM,SMK,SWASTA,JL. KH. MAS MANSYUR NO.25,Kota Adm. Jakarta Pusat,Tanah Abang,KEBON KACANG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20100118,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
69889008,SMTK BETHEL JAKARTA,,SWASTA,JL. PETAMBURAN IV NO 5,Kota Adm. Jakarta Pusat,Tanah Abang,PETAMBURAN,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/69889008,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
60725437,MAS AL QALAM,MA,SWASTA,Jl. Menteng Tenggulun No. 17 Rt: 009 Rw: 010,Kota Adm. Jakarta Pusat,Menteng,MENTENG,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60725437,MENTENG,KOTA ADM. JAKARTA PUSAT,PROV. D.K.I. JAKARTA,DIKMEN
